;tweetid;stance;temporal;hate;sentiment
0;1442402703016185856;deny;future;neither;negative
1;1443526854061793282;deny;future;neither;negative
2;1450201025349046275;deny;future;neither;positive
3;1451174011283644421;deny;future;neither;negative
4;1451365642217664517;deny;future;neither;positive
5;1452625518143082503;deny;future;neither;negative
6;1453336170956525570;deny;present;neither;negative
7;1454413369335820294;deny;present;neither;negative
8;1458066535256186882;deny;present;neither;negative
9;1458140553481125888;deny;past;offensive_language;positive
10;1435165269530456074;deny;future;neither;negative
11;1446758753689391105;deny;future;hate_speech;positive
12;1454769864221069312;deny;future;neither;negative
13;1455522135598936064;deny;future;neither;negative
14;1456009932726325248;deny;future;neither;negative
15;1456301488234401793;deny;future;neither;positive
16;1422201197880954882;deny;past;offensive_language;negative
17;1420496846653464584;deny;future;neither;negative
18;1420571011913637896;deny;past;neither;positive
19;1420667238500216833;deny;future;neither;neutral
20;1420724511217946624;deny;future;neither;neutral
21;1421045127372591107;deny;future;neither;negative
22;1421851502965002246;deny;future;neither;negative
23;1422200748155150341;deny;future;neither;negative
24;1422568329353515016;deny;future;neither;neutral
25;1423540839091826691;deny;future;offensive_language;positive
26;1424122038009188352;deny;future;neither;negative
27;1424665850934702084;deny;future;neither;neutral
28;1424730511637811206;deny;future;neither;positive
29;1424742450489348097;deny;past;neither;negative
30;1424773090446282759;deny;future;offensive_language;positive
31;1424816316146401281;deny;future;neither;negative
32;1424886833696096257;deny;future;neither;negative
33;1424889823865843714;deny;future;neither;negative
34;1425149957699514369;deny;present;offensive_language;negative
35;1425161991912628228;deny;past;offensive_language;negative
36;1425831997969027090;deny;future;neither;negative
37;1425837091959808004;deny;present;neither;negative
38;1426333648907915267;deny;future;neither;negative
39;1429103321441312780;deny;present;neither;negative
40;1429851983305973769;deny;present;neither;neutral
41;1430245441673777152;deny;present;neither;negative
42;1430543157784190982;deny;past;neither;positive
43;1430579035856310276;deny;present;offensive_language;positive
44;1430659859893137410;deny;future;offensive_language;negative
45;1431911309587664899;deny;future;neither;negative
46;1431960749908320261;deny;present;neither;positive
47;1432076026205642753;deny;future;neither;negative
48;1432320006008807427;deny;future;neither;positive
49;1432454772943065089;deny;future;neither;negative
50;1432456682848886786;deny;present;neither;positive
51;1432495388200558594;deny;future;offensive_language;positive
52;1432869872925483016;deny;future;neither;positive
53;1433529250867449859;deny;present;neither;negative
54;1433604183882702850;deny;present;neither;negative
55;1434201377807405061;deny;future;neither;negative
56;1434336251918761985;deny;past;offensive_language;positive
57;1435406306286964740;deny;present;offensive_language;positive
58;1435817153442168835;deny;present;neither;negative
59;1437094379672379392;deny;past;offensive_language;negative
60;1437880462224019458;deny;future;offensive_language;positive
61;1438249179973836801;deny;future;neither;negative
62;1438510462350422016;deny;future;neither;neutral
63;1438734039423221765;deny;future;neither;negative
64;1440354427194380289;deny;past;offensive_language;positive
65;1440612418720124934;deny;future;neither;negative
66;1441182317687492608;deny;future;neither;negative
67;1441370947236216832;deny;past;neither;neutral
68;1442081137883418624;deny;future;neither;positive
69;1442857312234913793;deny;future;neither;positive
70;1443011966302367744;deny;present;neither;positive
71;1443543085351309313;deny;future;neither;negative
72;1443634847851950080;deny;future;neither;neutral
73;1445673119536926721;deny;future;neither;positive
74;1445690656253378564;deny;present;neither;positive
75;1446305758686027778;deny;future;hate_speech;positive
76;1446467129939841025;deny;future;neither;positive
77;1447479102852698114;deny;future;hate_speech;negative
78;1450361375038087172;deny;future;neither;neutral
79;1450455358326013953;deny;future;neither;positive
80;1450965922781401089;deny;future;neither;neutral
81;1451190183500521487;deny;future;neither;negative
82;1451200665934393350;deny;future;offensive_language;negative
83;1451464641239044112;deny;future;neither;negative
84;1451747313089662979;deny;future;neither;negative
85;1451943683515944967;deny;past;offensive_language;positive
86;1452144741777231873;deny;past;offensive_language;positive
87;1452223017992572937;deny;future;neither;neutral
88;1453141372173799424;deny;present;neither;negative
89;1453667309470588929;deny;future;neither;negative
90;1453857189190414340;deny;future;neither;neutral
91;1455208072469794825;deny;past;neither;positive
92;1455359663139065858;deny;future;neither;positive
93;1455593020045332482;deny;future;offensive_language;positive
94;1455638075347017729;deny;future;neither;positive
95;1455644688388554753;deny;future;neither;positive
96;1455989377608323075;deny;present;neither;negative
97;1456011943609765891;deny;present;offensive_language;negative
98;1457713544187850766;deny;future;neither;negative
99;1457726784879742979;deny;past;neither;negative
100;1458013839337922560;deny;present;neither;neutral
101;1458121407758577671;deny;future;neither;positive
102;1458541832086831104;deny;future;neither;negative
103;1458942874666549258;deny;future;neither;neutral
104;1459331553952100356;deny;future;neither;negative
105;1459664913799028739;deny;past;offensive_language;positive
106;1459736917671653379;deny;future;neither;positive
107;1459750793087574025;deny;present;neither;neutral
108;1459764735830675464;deny;past;neither;positive
109;1459764953125203974;deny;present;offensive_language;negative
110;1459775255925252098;deny;present;offensive_language;negative
111;1459793203494678528;deny;past;offensive_language;positive
112;1459797393793339394;deny;future;offensive_language;neutral
113;1459798975071113217;deny;present;neither;negative
114;1459800197924597763;deny;present;neither;negative
115;1459827862077415426;deny;past;offensive_language;positive
116;1459831996465782788;deny;past;neither;negative
117;1459841024193347589;deny;past;offensive_language;positive
118;1459846946600980480;deny;past;offensive_language;negative
