;tweetid;topic;stance;hate;sentiment
0;1204943101954949120;1;1.0;offensive_language;positive
1;1204354987297591296;2;1.0;neither;neutral
2;1202971563294785537;1;1.0;neither;negative
3;1203227176847519744;1;0.0;neither;neutral
4;1205425579614523392;3;1.0;neither;positive
5;1205211905398231040;2;1.0;neither;negative
6;1203151608684654592;1;1.0;neither;neutral
7;1200929265195241474;1;-1.0;offensive_language;positive
8;1202717873514389506;4;1.0;neither;positive
9;1200933365681029120;1;-1.0;neither;neutral
10;1203053776418021376;1;1.0;neither;negative
11;1201119437774045184;2;1.0;neither;positive
12;1200984425556664320;4;1.0;neither;negative
13;1204878994849587202;1;1.0;offensive_language;positive
14;1203083912345456642;3;1.0;neither;negative
15;1203692580749209600;2;1.0;offensive_language;negative
16;1204208204110061568;4;1.0;neither;positive
17;1201617312983474176;1;-1.0;neither;negative
18;1201049202710712322;4;0.0;neither;positive
19;1205001262216830976;2;1.0;neither;neutral
20;1205435094946734080;2;1.0;offensive_language;negative
21;1201946293234483200;1;1.0;neither;positive
22;1201069976125394944;2;1.0;neither;neutral
23;1203994870232293376;1;1.0;offensive_language;negative
24;1204619655291125761;1;1.0;neither;negative
25;1200952356579479558;2;1.0;offensive_language;positive
26;1205295587597246464;1;1.0;offensive_language;negative
27;1204469250850725889;1;1.0;neither;positive
28;1204029784734478338;2;-1.0;offensive_language;positive
29;1204911924942495747;1;1.0;offensive_language;positive
30;1202669538342387712;4;1.0;neither;negative
31;1204765432885972994;2;1.0;neither;positive
32;1201928737043951616;1;1.0;neither;positive
33;1200980315554009089;1;1.0;neither;positive
34;1203733438689357825;1;1.0;neither;positive
35;1204785521584676867;1;1.0;offensive_language;positive
36;1201050310669742081;1;1.0;offensive_language;positive
37;1204931196435750912;2;-1.0;neither;positive
38;1200934972162490368;1;1.0;neither;negative
39;1203004953293230082;1;1.0;neither;negative
40;1205528863796867073;1;1.0;offensive_language;negative
41;1201057947700342784;2;1.0;neither;neutral
42;1204772278799495168;1;-1.0;neither;negative
43;1201060207176167424;2;1.0;neither;negative
44;1205194475292831744;2;1.0;neither;positive
45;1204767249464221703;2;1.0;offensive_language;positive
46;1203527984176459779;1;-1.0;neither;positive
47;1205586973748027394;2;1.0;offensive_language;negative
48;1203359016497434629;1;1.0;neither;positive
49;1204515574090330113;1;1.0;neither;negative
50;1201031599044861952;2;1.0;neither;negative
51;1205409093344587776;1;1.0;neither;positive
52;1200974327270838272;2;1.0;neither;negative
53;1205460713596162048;1;1.0;neither;positive
54;1200982289976451072;1;1.0;neither;positive
55;1201299575006470144;1;1.0;neither;positive
56;1203683543211290625;1;-1.0;offensive_language;positive
57;1204891706560262147;1;-1.0;neither;positive
58;1203184043682140161;1;1.0;offensive_language;neutral
59;1204091041789464577;4;1.0;neither;positive
60;1204749938862821376;2;1.0;offensive_language;negative
61;1204532949024231424;4;1.0;offensive_language;neutral
62;1202846377350483968;1;1.0;neither;positive
63;1201069294936875008;2;1.0;neither;positive
64;1204721071720665088;1;1.0;neither;neutral
65;1204934689716224000;5;1.0;neither;negative
66;1205145774683828224;2;1.0;neither;negative
67;1201435789974032384;1;1.0;neither;positive
68;1200993055639162881;1;1.0;neither;negative
69;1202530236870668288;1;0.0;neither;positive
70;1200999247107117062;1;0.0;neither;positive
71;1204789068590190593;1;1.0;offensive_language;positive
72;1200991123835101184;2;1.0;neither;negative
73;1203735298896732163;4;1.0;neither;neutral
74;1201790032161492992;1;1.0;hate_speech;positive
75;1203819464871026688;1;1.0;neither;negative
76;1203064528822505473;1;1.0;neither;negative
77;1203413751854182400;1;1.0;offensive_language;positive
78;1203669426094125063;1;1.0;offensive_language;positive
79;1202689972370849793;1;1.0;neither;positive
80;1203449165251923969;1;1.0;neither;negative
81;1201785812901335042;1;1.0;neither;positive
82;1201048311165280257;2;1.0;neither;positive
83;1205605404719251457;4;1.0;neither;positive
84;1203041668485787654;3;1.0;neither;positive
85;1200965523019849728;2;1.0;neither;positive
86;1204746512393097216;1;-1.0;offensive_language;negative
87;1205400838795091969;1;1.0;offensive_language;negative
88;1201058880719085568;2;0.0;neither;negative
89;1202216837506834432;1;0.0;offensive_language;negative
90;1202607026448154624;2;1.0;neither;neutral
91;1203149081117437953;1;1.0;neither;negative
92;1204417326554025985;1;1.0;offensive_language;positive
93;1203092796929785857;1;1.0;neither;negative
94;1202448176441114624;1;-1.0;neither;positive
95;1202668749142339587;2;1.0;offensive_language;negative
96;1205404489546706944;5;1.0;neither;negative
97;1204925799016452096;1;1.0;neither;positive
98;1203972330944249861;2;1.0;neither;negative
99;1205090540116529160;1;0.0;offensive_language;neutral
100;1201889261823447040;1;1.0;neither;positive
101;1203219595835916288;1;1.0;neither;negative
102;1205257406952955909;1;1.0;offensive_language;negative
103;1204763012638183427;3;1.0;offensive_language;positive
104;1204925525246062597;1;1.0;neither;negative
105;1203762602251374596;2;1.0;offensive_language;positive
106;1201638020606234627;1;1.0;hate_speech;negative
107;1202161023584739329;1;1.0;offensive_language;neutral
108;1203325606504673280;5;1.0;neither;positive
109;1205031394419912704;2;1.0;neither;positive
110;1202890427218583553;1;1.0;offensive_language;positive
111;1203986853243838465;2;1.0;neither;negative
112;1205234291166171136;1;1.0;neither;positive
113;1203787646650265605;1;1.0;neither;neutral
114;1204307772126269441;1;1.0;neither;neutral
115;1202274556326666240;2;-1.0;neither;negative
116;1202612504385466370;1;1.0;neither;positive
117;1201067565306580992;1;1.0;neither;positive
118;1205568731830611968;2;1.0;neither;negative
119;1200928930909343744;1;1.0;neither;neutral
120;1201033609668255744;4;1.0;offensive_language;positive
121;1204091146961670145;1;1.0;offensive_language;neutral
122;1201554290562752514;2;1.0;offensive_language;positive
123;1202618015004672000;1;0.0;offensive_language;negative
124;1201071960324788224;2;1.0;offensive_language;positive
125;1204591101132320768;1;1.0;offensive_language;negative
126;1204097242279350272;1;-1.0;offensive_language;positive
127;1205326964174667776;1;1.0;offensive_language;neutral
128;1205311858372038658;1;-1.0;offensive_language;negative
129;1202056807759282177;1;1.0;neither;positive
130;1204546955403235330;1;0.0;neither;positive
131;1205120868323667968;2;1.0;neither;positive
132;1203067069090152448;2;1.0;neither;positive
133;1205088765271777280;1;1.0;offensive_language;positive
134;1201019311470477312;5;1.0;neither;positive
135;1203295310732115968;2;1.0;offensive_language;positive
136;1203109818950569984;1;1.0;neither;neutral
137;1204334598768988160;2;1.0;neither;positive
138;1201069445948592128;1;1.0;offensive_language;negative
139;1204870308764610560;1;1.0;hate_speech;positive
140;1204383693143343104;2;1.0;offensive_language;positive
141;1203284532616499200;2;1.0;neither;positive
142;1204765076680519680;2;1.0;offensive_language;negative
143;1202650003119865856;1;1.0;offensive_language;positive
144;1204091898652020736;2;1.0;neither;negative
145;1205040059055058945;1;0.0;neither;positive
146;1201058297190551552;1;1.0;neither;positive
147;1200986591600291840;1;0.0;offensive_language;positive
148;1204730258609586176;1;1.0;neither;positive
149;1200991111797297152;1;0.0;neither;positive
150;1201071055248470016;1;1.0;neither;positive
151;1203839598989697025;2;1.0;neither;negative
152;1205629161475170305;3;1.0;offensive_language;positive
153;1201033782746218499;1;1.0;offensive_language;neutral
154;1205375692088774656;1;1.0;neither;negative
155;1204889472216772608;1;1.0;hate_speech;negative
156;1203650042038538242;1;1.0;offensive_language;neutral
157;1201004130501832704;1;0.0;neither;neutral
158;1203085727464120322;1;-1.0;neither;positive
159;1204799197469392897;1;0.0;offensive_language;positive
160;1204041035074228224;2;1.0;neither;neutral
161;1203279474034446336;1;1.0;offensive_language;neutral
162;1201225704106426368;1;1.0;hate_speech;negative
163;1203366862119219203;2;1.0;neither;negative
164;1205189307000119296;1;1.0;offensive_language;positive
165;1202896820285952000;1;1.0;neither;negative
166;1205158491440193537;1;1.0;neither;neutral
167;1201791933833629697;5;-1.0;neither;negative
168;1203953072801751040;1;1.0;neither;negative
169;1204108967380545537;1;1.0;neither;positive
170;1202606799804747777;1;1.0;offensive_language;positive
171;1204005513450704896;1;1.0;offensive_language;neutral
172;1203767342582206466;1;1.0;offensive_language;negative
173;1205107151569670146;1;-1.0;offensive_language;positive
174;1204481484675047430;5;1.0;neither;positive
175;1203815269417644033;2;1.0;neither;negative
176;1202626815132684288;4;1.0;neither;negative
177;1204052377462026240;1;1.0;neither;negative
178;1202239649621647361;2;1.0;neither;positive
179;1202267873563103233;1;1.0;neither;negative
180;1200979524487438336;1;1.0;neither;positive
181;1204852457676902400;1;1.0;offensive_language;negative
182;1205259907898982401;2;1.0;neither;negative
183;1203080183940444160;3;1.0;neither;negative
184;1202651204997787648;1;1.0;neither;positive
185;1200942646967050240;5;1.0;neither;negative
186;1203066927309934592;1;1.0;offensive_language;positive
187;1202989555420405761;1;1.0;neither;positive
188;1201393102797230080;3;1.0;offensive_language;neutral
189;1205441038594260992;1;-1.0;offensive_language;positive
190;1205309864014049281;2;1.0;offensive_language;negative
191;1204758642366582789;1;1.0;offensive_language;neutral
192;1202696143047725057;2;1.0;neither;negative
193;1205232220023201793;1;1.0;offensive_language;positive
194;1204339885282332672;1;1.0;neither;positive
195;1201049193252556802;4;1.0;neither;positive
196;1201078261977112576;2;1.0;hate_speech;positive
197;1202681079896760320;2;1.0;offensive_language;negative
198;1201864823547539456;1;1.0;neither;positive
199;1201516555739238402;1;1.0;neither;negative
200;1202651341853622273;1;1.0;neither;positive
201;1201071762751946753;1;1.0;offensive_language;negative
202;1203773635334492160;1;0.0;neither;positive
203;1203975267909173249;2;1.0;neither;positive
204;1204454830565142529;1;1.0;neither;positive
205;1201155752561385473;2;1.0;neither;positive
206;1205632774671085569;1;-1.0;neither;positive
207;1204750177799745536;2;1.0;neither;neutral
208;1205481454995722240;2;1.0;neither;neutral
209;1201028942846713857;4;1.0;neither;negative
210;1201654721037111296;1;0.0;neither;positive
211;1204573834852151302;1;1.0;offensive_language;positive
212;1201410748196491264;1;1.0;offensive_language;positive
213;1202022454719328256;4;1.0;offensive_language;positive
214;1201022118152097792;4;1.0;offensive_language;negative
215;1201021952518963200;2;1.0;offensive_language;positive
216;1204010287088750592;4;1.0;neither;neutral
217;1203186254352986112;1;-1.0;offensive_language;negative
218;1205314881055903749;1;-1.0;neither;negative
219;1201709542293114881;1;0.0;neither;positive
220;1204804351937536001;5;1.0;offensive_language;negative
221;1203791670912765953;2;0.0;offensive_language;negative
222;1205244483551387648;4;1.0;neither;positive
223;1204923276331569153;2;1.0;offensive_language;positive
224;1201927043161690112;2;1.0;offensive_language;neutral
225;1203077179682295808;2;-1.0;offensive_language;positive
226;1203537177910509568;1;-1.0;neither;negative
227;1204071719927009285;4;1.0;neither;negative
228;1204871910720294913;1;-1.0;offensive_language;positive
229;1204914290454671360;1;1.0;offensive_language;negative
