tweetid;topic;hate;sentiment
1450975135129812995;impact;hate_speech;negative
1450973691009929217;impact;neither;negative
1449471281921859584;mitigation;offensive_language;positive
1449471244269588483;mitigation;offensive_language;positive
1449465164319928320;impact;neither;negative
1449464941837275152;mitigation;neither;neutral
1449464779416944643;impact;neither;negative
1449457842692501504;politics_and_policy;neither;neutral
1449455693753458695;impact;offensive_language;negative
1449455455118532620;politics_and_policy;neither;negative
1449454956076060673;politics_and_policy;neither;negative
1443991141658071047;politics_and_policy;offensive_language;negative
1443977142337867781;others;neither;neutral
1443976522772226063;others;neither;neutral
1450137849697767430;others;neither;negative
1450137327070818304;mitigation;offensive_language;negative
1450136815508328450;politics_and_policy;neither;positive
1450136718024249356;mitigation;neither;neutral
1450136463811694596;politics_and_policy;neither;neutral
1450136414428008448;impact;neither;negative
1450129085397676035;mitigation;neither;positive
1444650121610813449;others;neither;neutral
1444649762934833154;others;neither;neutral
1444648468870479881;impact;neither;negative
1444647189943357443;impact;hate_speech;negative
1444647174491578373;politics_and_policy;neither;neutral
1444644147890044928;others;neither;neutral
1444643106708676614;others;neither;positive
1453427247084412934;politics_and_policy;offensive_language;negative
1453426523822706691;mitigation;neither;neutral
1453426113804312584;politics_and_policy;offensive_language;neutral
1453425526081679362;politics_and_policy;neither;negative
1453424756007444481;politics_and_policy;neither;positive
1453424128485052416;mitigation;offensive_language;neutral
1453424021257834503;politics_and_policy;neither;positive
1453423667921100803;impact;neither;negative
1453422598344167426;politics_and_policy;neither;negative
1453422377120018439;politics_and_policy;neither;negative
1453421260097171457;politics_and_policy;neither;positive
1453421113648848900;mitigation;offensive_language;positive
1453421041385197568;impact;neither;negative
1453420995642077186;politics_and_policy;offensive_language;neutral
1453419101670498305;others;neither;negative
1453418751521591305;mitigation;neither;positive
1447926313096986633;mitigation;neither;neutral
1447926123376037896;impact;neither;negative
1447925626996936710;others;offensive_language;positive
1447925408217903113;impact;neither;negative
1447925378861969425;impact;neither;negative
1447925328622538753;others;neither;neutral
1447923735474970639;mitigation;neither;positive
1447922403410120719;mitigation;offensive_language;positive
1447919992847093778;politics_and_policy;neither;neutral
1447919935318020103;impact;neither;negative
1447918726297362443;others;offensive_language;neutral
1447917798320128008;others;offensive_language;neutral
1447916753162543108;mitigation;neither;positive
1454780352376053760;others;neither;neutral
1454780257555333128;others;neither;neutral
1454780250634739713;mitigation;offensive_language;neutral
1454780200122732544;impact;neither;negative
1454780192518393862;others;offensive_language;positive
1454779450755780608;politics_and_policy;offensive_language;neutral
1454779435148840963;mitigation;neither;positive
1454777547825233926;politics_and_policy;neither;neutral
1454777434537021443;politics_and_policy;neither;positive
1454777426794500102;politics_and_policy;neither;neutral
1454776093676802050;politics_and_policy;neither;neutral
1454773341189918734;politics_and_policy;neither;neutral
1454772903493476354;mitigation;neither;positive
1454772746035077121;politics_and_policy;neither;negative
