;tweetid;cretaed_at;category;senti;hate
0;1237387231779840000;Tue Mar 10 14:38:00 +0000 2020;irrelevant;positive;neither
1;1240175235304960000;Wed Mar 18 07:16:32 +0000 2020;irrelevant;negative;neither
2;1241324844920320000;Sat Mar 21 11:24:40 +0000 2020;irrelevant;negative;neither
3;1243024442621440000;Thu Mar 26 03:58:16 +0000 2020;irrelevant;negative;neither
4;1273803569758720000;Fri Jun 19 02:23:31 +0000 2020;politics;negative;hate_speech
5;1275384241681920000;Tue Jun 23 11:04:33 +0000 2020;true public health response;positive;neither
6;1215113270710935553;Thu Jan 09 03:29:14 +0000 2020;true public health response;negative;neither
7;1216676765982175232;Mon Jan 13 11:02:00 +0000 2020;news;negative;hate_speech
8;1217159574433804289;Tue Jan 14 19:00:30 +0000 2020;news;neutral;neither
9;1222615296344608768;Wed Jan 29 20:19:36 +0000 2020;calling out or correction;negative;neither
10;1222984685120368646;Thu Jan 30 20:47:25 +0000 2020;sarcasm or satire;positive;neither
11;1224147257517199360;Mon Feb 03 01:47:04 +0000 2020;true public health response;neutral;neither
12;1224970162459172865;Wed Feb 05 08:17:00 +0000 2020;calling out or correction;positive;neither
13;1225053872370176000;Wed Feb 05 13:49:38 +0000 2020;calling out or correction;positive;neither
14;1225549173157695491;Thu Feb 06 22:37:47 +0000 2020;calling out or correction;positive;neither
15;1225835616656658433;Fri Feb 07 17:36:00 +0000 2020;calling out or correction;negative;neither
16;1226276322021978117;Sat Feb 08 22:47:12 +0000 2020;fake cure;neutral;neither
17;1227310448401317891;Tue Feb 11 19:16:27 +0000 2020;calling out or correction;neutral;neither
18;1227362900970479617;Tue Feb 11 22:44:53 +0000 2020;conspiracy;positive;neither
19;1228608922426249216;Sat Feb 15 09:16:08 +0000 2020;conspiracy;negative;neither
20;1232059565065297920;Mon Feb 24 21:47:45 +0000 2020;true public health response;negative;neither
21;1232502381016907776;Wed Feb 26 03:07:21 +0000 2020;conspiracy;neutral;neither
22;1232553364438814720;Wed Feb 26 06:29:56 +0000 2020;calling out or correction;negative;neither
23;1232791958281576448;Wed Feb 26 22:18:01 +0000 2020;true public health response;positive;hate_speech
24;1232965700454666241;Thu Feb 27 09:48:25 +0000 2020;calling out or correction;negative;neither
25;1233219957208444928;Fri Feb 28 02:38:44 +0000 2020;calling out or correction;positive;neither
26;1233467656860315649;Fri Feb 28 19:03:00 +0000 2020;calling out or correction;negative;neither
27;1233566321876578305;Sat Feb 29 01:35:04 +0000 2020;politics;positive;neither
28;1233642854884552705;Sat Feb 29 06:39:11 +0000 2020;politics;neutral;neither
29;1233669385514094592;Sat Feb 29 08:24:36 +0000 2020;calling out or correction;negative;offensive_language
30;1233823268924096512;Sat Feb 29 18:36:05 +0000 2020;politics;negative;neither
31;1233841246264864768;Sat Feb 29 19:47:31 +0000 2020;politics;negative;neither
32;1234085077379768320;Sun Mar 01 11:56:25 +0000 2020;conspiracy;positive;neither
33;1234424425048612866;Mon Mar 02 10:24:52 +0000 2020;conspiracy;neutral;neither
34;1234426459495829504;Mon Mar 02 10:32:57 +0000 2020;conspiracy;positive;neither
35;1234461652252164096;Mon Mar 02 12:52:47 +0000 2020;conspiracy;negative;neither
36;1234493446418817025;Mon Mar 02 14:59:08 +0000 2020;true prevention;neutral;neither
37;1234523085770022912;Mon Mar 02 16:56:54 +0000 2020;calling out or correction;neutral;neither
38;1234664589452693505;Tue Mar 03 02:19:11 +0000 2020;true prevention;positive;neither
