;tweetid;stance;topic;hate;sentiment
0;1284157078555234312;FAVOR;stay_at_home_orders;neither;neg
1;1244882955396206592;FAVOR;stay_at_home_orders;offensive_language;pos
2;1290631866551214080;FAVOR;stay_at_home_orders;hate_speech;neg
3;1289778985446957058;FAVOR;stay_at_home_orders;neither;other
4;1282939649510346753;FAVOR;stay_at_home_orders;offensive_language;pos
5;1283455284137123841;FAVOR;stay_at_home_orders;offensive_language;neg
6;1281065957163597827;FAVOR;stay_at_home_orders;neither;neg
7;1280477819651239937;FAVOR;stay_at_home_orders;hate_speech;neg
8;1287827595795496966;FAVOR;stay_at_home_orders;offensive_language;pos
9;1284304120514396160;FAVOR;stay_at_home_orders;neither;neg
10;1290746301009854466;FAVOR;stay_at_home_orders;neither;pos
11;1272937684772679680;FAVOR;stay_at_home_orders;neither;neg
12;1285810667728011264;FAVOR;stay_at_home_orders;neither;pos
13;1286338674968363012;FAVOR;stay_at_home_orders;neither;pos
14;1286271085680500736;FAVOR;stay_at_home_orders;offensive_language;pos
15;1290714344657784832;FAVOR;stay_at_home_orders;neither;neg
16;1282761035145809921;FAVOR;stay_at_home_orders;neither;neg
17;1282207043697274882;FAVOR;stay_at_home_orders;offensive_language;pos
18;1244962763962814464;FAVOR;stay_at_home_orders;neither;pos
19;1289723088133750784;FAVOR;stay_at_home_orders;neither;pos
20;1288655629138132994;FAVOR;stay_at_home_orders;neither;neg
21;1289961106446802944;FAVOR;stay_at_home_orders;neither;pos
22;1282345396786925568;FAVOR;stay_at_home_orders;offensive_language;neg
23;1285523627086163968;FAVOR;stay_at_home_orders;neither;pos
24;1289353088004812800;FAVOR;stay_at_home_orders;hate_speech;neg
25;1281449693512232960;FAVOR;stay_at_home_orders;neither;pos
26;1277281196586795009;FAVOR;stay_at_home_orders;neither;pos
27;1251921681263792138;AGAINST;stay_at_home_orders;hate_speech;neg
28;1253404169462886401;AGAINST;stay_at_home_orders;offensive_language;neg
29;1282464027487227909;AGAINST;stay_at_home_orders;neither;neg
30;1283024180607320066;AGAINST;stay_at_home_orders;offensive_language;other
31;1276541094919057409;AGAINST;stay_at_home_orders;hate_speech;neg
32;1277791215585341440;AGAINST;stay_at_home_orders;neither;neg
33;1283111813538893825;AGAINST;stay_at_home_orders;offensive_language;other
34;1278073807295610880;AGAINST;stay_at_home_orders;offensive_language;neg
35;1282525213272543239;AGAINST;stay_at_home_orders;hate_speech;neg
36;1285043082266910720;AGAINST;stay_at_home_orders;offensive_language;neg
37;1276829888289230850;AGAINST;stay_at_home_orders;hate_speech;neg
38;1288760786509164544;AGAINST;stay_at_home_orders;neither;neg
39;1287123920752128002;AGAINST;stay_at_home_orders;neither;pos
40;1283457519084400640;AGAINST;stay_at_home_orders;offensive_language;neg
41;1280785696937172992;AGAINST;stay_at_home_orders;offensive_language;neg
42;1290721089434329091;AGAINST;stay_at_home_orders;neither;neg
43;1287451009904672769;AGAINST;stay_at_home_orders;offensive_language;neg
44;1281402580342636544;AGAINST;stay_at_home_orders;offensive_language;neg
