;tweetid;mid;stance;senti;hate
0;1250814876492185600;13;favor;negative;neither
1;1254581365837893632;13;favor;neutral;offensive_language
2;1244612397165404160;13;favor;negative;neither
3;1248103772913455104;13;favor;positive;neither
4;1253999460344049664;13;against;negative;neither
5;1243481963740254208;13;against;negative;neither
6;1244450240674971648;13;against;negative;neither
7;1244766015633973248;13;favor;positive;offensive_language
8;1245060692039909382;13;favor;negative;hate_speech
9;1253966545115664384;13;favor;positive;neither
10;1244622305445240833;13;favor;neutral;neither
11;1244948932729417730;13;favor;negative;hate_speech
12;1253032704234467328;13;against;negative;neither
13;1312878353851056137;13;against;positive;neither
14;1269931439958753281;13;favor;negative;neither
15;1240138741932589056;13;neither;negative;neither
16;1244860038944043009;13;favor;negative;neither
17;1257433274936418305;13;favor;negative;neither
18;1255971979481493505;17;favor;neutral;neither
19;1264274816955269121;17;favor;positive;neither
20;1256942516659683328;17;favor;negative;neither
21;1252466053986365440;17;against;positive;neither
22;1251762991789473794;17;favor;positive;neither
23;1332305755043737601;17;favor;neutral;neither
24;1251241709213753344;17;favor;neutral;neither
25;1337628746367397891;17;against;positive;neither
26;1270931333422837762;17;against;negative;hate_speech
27;1253121747756429315;17;favor;negative;neither
28;1251183159871324162;17;favor;positive;offensive_language
29;1262191756860223488;17;favor;negative;neither
30;1251218724524224512;17;favor;negative;neither
31;1251289407837089792;17;favor;negative;neither
32;1255234877458432000;17;favor;positive;offensive_language
33;1251084672865632257;17;favor;positive;neither
34;1252782090019573762;17;against;negative;offensive_language
35;1251991506501554177;17;favor;positive;neither
36;1252973846468182019;17;against;positive;neither
37;1251555353159819266;17;favor;neutral;neither
38;1255971887085244416;17;favor;positive;neither
39;1251378437274689536;17;against;positive;neither
40;1256311587301965825;17;favor;negative;neither
41;1251143932211195906;17;neither;negative;neither
42;1251129944857628672;17;favor;neutral;neither
43;1252712810880122881;17;against;negative;offensive_language
44;1252066158133403648;17;neither;negative;offensive_language
45;1252620093282009094;17;against;negative;neither
46;1256643725977161729;17;favor;negative;neither
47;1247620104189349893;26;favor;positive;neither
48;1252666656087826436;26;favor;negative;neither
49;1247691375992324096;26;favor;positive;neither
50;1251807911262785537;26;against;negative;neither
51;1279877963488657409;26;favor;negative;neither
52;1254164668358307847;26;against;negative;neither
53;1250353456390361094;26;favor;neutral;neither
54;1247824634206203905;26;favor;neutral;neither
55;1247618979578798080;26;favor;positive;neither
56;1249012687243055104;26;favor;negative;neither
57;1275808001790803969;26;against;negative;neither
58;1252887086618853376;26;against;negative;neither
59;1249604364227895297;26;favor;positive;neither
60;1276635063497736192;26;favor;negative;neither
61;1225296001696591872;26;favor;negative;neither
62;1247615286322311168;26;favor;positive;neither
63;1253469552052183041;26;favor;negative;neither
64;1250106621713416201;26;against;neutral;neither
65;1289196612820992002;26;favor;positive;neither
66;1251541949477261313;26;against;negative;neither
67;1252424353171402754;26;favor;positive;neither
68;1247702174173409290;26;favor;neutral;neither
69;1259998266713751552;26;favor;positive;offensive_language
70;1249383054302261248;46;favor;neutral;neither
71;1249452715345760256;46;favor;negative;neither
72;1249410546463539200;46;favor;neutral;neither
73;1249360602717356037;46;favor;neutral;neither
74;1249390865643999237;46;favor;negative;neither
75;1249738830560858115;46;favor;neutral;hate_speech
76;1249356262401126400;46;favor;positive;neither
77;1249367382759485440;46;favor;neutral;neither
78;1249408237394419712;46;favor;negative;neither
79;1249786548322799616;46;against;positive;neither
80;1249354627474055168;46;favor;negative;neither
81;1249655710411087872;46;favor;neutral;neither
82;1249394591910055939;46;favor;negative;hate_speech
83;1249185069886996480;46;favor;positive;offensive_language
84;1249404951929016325;46;favor;neutral;neither
85;1249523741295620096;46;favor;negative;neither
86;1249335253111648258;46;favor;negative;offensive_language
87;1249663133888565248;51;favor;neutral;neither
88;1252340232537518087;51;against;positive;neither
89;1256332864813064195;51;against;neutral;neither
90;1249839966781407233;51;favor;negative;offensive_language
91;1250786759329419269;51;against;negative;neither
92;1248667914645000192;51;favor;negative;neither
93;1250821402703400965;51;against;negative;offensive_language
94;1252581860724662274;51;against;negative;neither
95;1317820994875084801;51;favor;negative;neither
96;1249945965794033664;51;favor;negative;neither
97;1251386663940440065;51;favor;negative;neither
98;1250744459630972929;51;favor;negative;neither
99;1261510157726396416;51;favor;negative;offensive_language
100;1256266751836336128;51;against;negative;offensive_language
101;1261293802381291521;51;against;negative;neither
102;1251308081172144129;51;against;neutral;neither
103;1249400999212732416;51;favor;negative;neither
104;1249389635287080960;51;favor;negative;neither
105;1250629315882090499;51;against;neutral;neither
106;1248323698144055296;67;favor;negative;neither
107;1301488566036557830;67;favor;negative;neither
108;1248224781410934784;67;favor;negative;neither
109;1311682598071136259;67;favor;negative;neither
110;1248442127006208001;67;favor;negative;neither
111;1280628008576057344;67;favor;negative;neither
112;1248437047292903424;67;favor;negative;neither
113;1278016596569702400;67;favor;negative;neither
114;1305993696379367424;67;favor;negative;neither
115;1248427937977618437;67;favor;negative;neither
116;1278413143061016576;67;against;negative;hate_speech
117;1250604391217979392;67;against;negative;neither
118;1339245453930622976;67;favor;negative;neither
119;1308505527077412864;67;neither;negative;neither
120;1248174061110337538;67;favor;negative;neither
121;1350897813572485120;67;favor;negative;neither
122;1248551731077709825;67;favor;negative;neither
123;1327336165238661120;67;neither;negative;neither
124;1351331180931641345;67;favor;negative;offensive_language
125;1293186524410810369;67;favor;positive;neither
126;1248392366634881024;67;favor;negative;neither
127;1255204889921294336;67;favor;negative;neither
128;1252912009575829504;67;favor;negative;offensive_language
129;1248422959217143813;67;favor;negative;neither
130;1248071832898428928;68;favor;neutral;neither
131;1251566534478254081;68;favor;positive;neither
132;1248323111486980098;68;favor;positive;neither
133;1249858653781458944;68;favor;positive;neither
134;1248583944917995521;68;favor;positive;neither
