;tweetid;inaccurate_or_misleadning;stance;senti;hate
0;1457401803016921089;0;Pro-vaccine;negative;neither
1;1459021730446458881;1;Anti-vaccine;positive;neither
2;1484145644939972616;1;Anti-vaccine;negative;offensive_language
3;1463052982820356096;0;Pro-vaccine;positive;neither
4;1484294276636975107;1;Anti-vaccine;negative;offensive_language
5;1439782470224842753;1;Anti-vaccine;neutral;neither
6;1450461625937448964;0;Pro-vaccine;negative;offensive_language
7;1470425364694458371;0;Pro-vaccine;negative;offensive_language
8;1458314673313366020;1;Anti-vaccine;negative;offensive_language
9;1451293791734820866;1;Pro-vaccine;positive;neither
10;1475416334825508864;1;Anti-vaccine;negative;neither
11;1449355262666498059;1;Anti-vaccine;neutral;neither
12;1445474737275097090;0;Pro-vaccine;negative;offensive_language
13;1463361066415575045;0;Pro-vaccine;neutral;offensive_language
14;1474946944887934977;0;Pro-vaccine;positive;offensive_language
15;1443467508757917697;0;Pro-vaccine;positive;neither
16;1446373762618830849;0;Pro-vaccine;positive;neither
17;1475305522194747394;0;Anti-vaccine;positive;neither
18;1452461752545910794;0;Anti-vaccine;neutral;neither
19;1481847297361256455;0;Pro-vaccine;positive;neither
20;1465669682292084739;0;Pro-vaccine;negative;neither
21;1471689435666391041;1;Anti-vaccine;neutral;neither
22;1471689435666391041;1;Anti-vaccine;neutral;neither
23;1466721896666390528;1;Anti-vaccine;neutral;neither
24;1451321217240162304;0;Unsure about the vaccine;negative;neither
25;1451224398871019527;1;Anti-vaccine;negative;neither
26;1437301878702891011;1;Anti-vaccine;negative;neither
27;1474634074216038403;0;Pro-vaccine;positive;neither
28;1465645260395229188;1;Anti-vaccine;neutral;offensive_language
29;1449647236728639491;0;Pro-vaccine;positive;neither
30;1475014154150981632;0;Pro-vaccine;neutral;neither
31;1474478569384562698;0;Pro-vaccine;negative;offensive_language
32;1460177012795060226;1;Anti-vaccine;negative;offensive_language
33;1460537674373033988;1;Anti-vaccine;negative;neither
34;1476848835636912129;0;Pro-vaccine;neutral;neither
35;1448066167860568067;0;Pro-vaccine;positive;neither
36;1468237349494603785;0;Anti-vaccine;positive;neither
37;1471475135093878785;0;Anti-vaccine;negative;neither
38;1465684043156967431;0;Pro-vaccine;negative;neither
39;1477044211472289792;0;Pro-vaccine;positive;neither
40;1475578136519757832;1;Anti-vaccine;neutral;neither
41;1474576664638091265;1;Anti-vaccine;negative;neither
42;1472792405858349056;1;Anti-vaccine;neutral;neither
43;1472002777240932353;0;Pro-vaccine;positive;neither
44;1482525035373940736;1;Anti-vaccine;positive;neither
45;1471404335254818818;1;Anti-vaccine;positive;neither
46;1446453385012469769;0;Anti-vaccine;negative;hate_speech
47;1460517818521300996;1;Anti-vaccine;negative;neither
48;1477846703038509059;0;Pro-vaccine;negative;offensive_language
49;1468432177335521283;0;Pro-vaccine;neutral;neither
50;1477862614759731201;0;Unsure about the vaccine;neutral;neither
51;1443093222033543169;0;Pro-vaccine;neutral;offensive_language
52;1458865253039722500;0;Pro-vaccine;neutral;neither
53;1440701048650223623;0;Pro-vaccine;positive;neither
54;1467080065162747907;0;Pro-vaccine;neutral;offensive_language
55;1450859402911576064;1;Anti-vaccine;negative;neither
56;1475850327702204418;0;Pro-vaccine;positive;offensive_language
57;1483418925157212161;0;Pro-vaccine;negative;offensive_language
58;1436412214286721025;0;Pro-vaccine;negative;neither
59;1475764311570239496;1;Anti-vaccine;positive;neither
60;1473248888790212612;0;Pro-vaccine;negative;neither
61;1463434752581640203;0;Unsure about the vaccine;neutral;neither
62;1454599934234304512;0;Unsure about the vaccine;neutral;neither
63;1444472186383659019;0;Pro-vaccine;neutral;neither
64;1472607651603304457;0;Unsure about the vaccine;negative;neither
65;1468571729907830788;0;Anti-vaccine;negative;neither
66;1438590503872864265;1;Anti-vaccine;positive;neither
67;1462914286779617282;1;Anti-vaccine;neutral;neither
68;1474431370248130560;0;Pro-vaccine;negative;offensive_language
69;1444915680235573254;1;Anti-vaccine;neutral;neither
70;1445352132148875271;0;Pro-vaccine;neutral;neither
71;1472318432326656001;0;Anti-vaccine;positive;neither
72;1442897200187543553;1;Anti-vaccine;positive;offensive_language
73;1460149770949775363;0;Pro-vaccine;positive;neither
